id_municipio,rede,taxa_2023,taxa_2024,meta_alfabetizacao_2030,ritmo_observado_pp_ano,ritmo_necessario_pp_ano,cenario_tendencial_2030,gap_tendencial_meta_2030,risco_nao_atingir_meta_2030,ritmo_insuficiente,rede_original_fase2,sigla_uf,regiao,alunos_amostra,escolas_amostra,score_risco_modelo,ranking_prioridade_2030
2413359,3,32.7,27.68,80.0,-5.02,8.72,0.0,-80.0,True,True,Municipal,RN,Nordeste,8.0,1.0,0.784,1
2410504,3,55.6,41.81,80.0,-13.79,6.365,0.0,-80.0,True,True,Municipal,RN,Nordeste,3.0,1.0,0.773,2
1712702,3,27.6,9.09,80.0,-18.51,11.818,0.0,-80.0,True,True,Municipal,TO,Norte,2.0,1.0,0.753,3
2802601,3,20.0,16.67,80.0,-3.33,10.555,0.0,-80.0,True,True,Municipal,SE,Nordeste,3.0,1.0,0.744,4
2802809,3,38.3,34.31,80.0,-3.99,7.615,10.37,-69.63,True,True,Municipal,SE,Nordeste,23.0,8.0,0.736,5
2801306,3,33.5,35.78,80.0,2.28,7.37,49.46,-30.54,True,True,Municipal,SE,Nordeste,33.0,8.0,0.735,6
2802007,3,39.3,19.53,80.0,-19.77,10.078,0.0,-80.0,True,True,Municipal,SE,Nordeste,6.0,3.0,0.727,7
2413003,3,63.0,47.83,80.0,-15.17,5.362,0.0,-80.0,True,True,Municipal,RN,Nordeste,3.0,1.0,0.727,8
2402402,3,65.5,29.88,80.0,-35.62,8.353,0.0,-80.0,True,True,Municipal,RN,Nordeste,7.0,2.0,0.725,9
2805604,3,23.5,16.87,80.0,-6.63,10.522,0.0,-80.0,True,True,Municipal,SE,Nordeste,23.0,8.0,0.72,10
2404853,3,57.0,40.01,80.0,-16.99,6.665,0.0,-80.0,True,True,Municipal,RN,Nordeste,7.0,2.0,0.715,11
2804508,3,29.6,31.24,80.0,1.64,8.127,41.08,-38.92,True,True,Municipal,SE,Nordeste,31.0,8.0,0.711,12
2400109,3,44.1,38.21,80.0,-5.89,6.965,2.87,-77.13,True,True,Municipal,RN,Nordeste,10.0,3.0,0.696,13
2409308,3,32.2,32.76,80.0,0.56,7.873,36.12,-43.88,True,True,Municipal,RN,Nordeste,8.0,2.0,0.696,14
2806107,3,39.2,39.01,80.0,-0.19,6.832,37.87,-42.13,True,True,Municipal,SE,Nordeste,12.0,3.0,0.695,15
2800407,3,31.0,28.6,80.0,-2.4,8.567,14.2,-65.8,True,True,Municipal,SE,Nordeste,15.0,5.0,0.694,16
2806305,3,25.9,22.15,80.0,-3.75,9.642,0.0,-80.0,True,True,Municipal,SE,Nordeste,11.0,5.0,0.693,17
2804607,3,32.7,28.39,80.0,-4.31,8.602,2.53,-77.47,True,True,Municipal,SE,Nordeste,33.0,6.0,0.691,18
2803807,3,40.0,37.63,80.0,-2.37,7.062,23.41,-56.59,True,True,Municipal,SE,Nordeste,6.0,3.0,0.689,19
2806404,3,28.9,22.21,80.0,-6.69,9.632,0.0,-80.0,True,True,Municipal,SE,Nordeste,14.0,3.0,0.685,20
